District,Town,Member,Party,Email,Phone,Committees
3,Fort Fairfield,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
1,Fort Kent,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
37,Frankfort (Part),Reagan L. Paul,R - Winterport,Reagan.Paul@legislature.maine.gov,(207) 944-8033,"Elections; Energy, Utilities and Technology"
38,Frankfort (Part),Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
12,Franklin,Billy Bob Faulkingham,R - Winter Harbor,William.Faulkingham@legislature.maine.gov,(207) 460-6967,Joint Select Committee on Joint Rules - Ranking Member
63,Freedom,Paul R. Flynn,R - Albion,Paul.Flynn@legislature.maine.gov,(207) 314-5525,"Health Coverage, Insurance and Financial Services"
73,unorganized territory of Freeman Township,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
102,Freeport,Melanie F. Sachs,D - Freeport,Melanie.Sachs@legislature.maine.gov,(207) 299-6825,"Energy, Utilities and Technology - Chair"
15,Frenchboro,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
2,Frenchville,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
45,Friendship,Abden S. Simmons,R - Waldoboro,Abden.Simmons@legislature.maine.gov,(207) 446-4518,Marine Resources
86,Frye Island,Rolf A. Olsen,R - Raymond,Rolf.Olsen@legislature.maine.gov,(207) 632-1530,"Health Coverage, Insurance and Financial Services"
82,Fryeburg,Nathan J. Wadsworth,R - Hiram,Nathan.Wadsworth@legislature.maine.gov,(207) 838-7451,"Bills in the Second Reading; Energy, Utilities and Technology"
54,Gardiner,Karen L. Montell,D - Gardiner,Karen.Montell@legislature.maine.gov,(207) 513-0102,Transportation
1,plantation Garfield,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
32,Garland,Steven D. Foster,R - Dexter,Steven.Foster@legislature.maine.gov,(207) 924-4409,"Energy, Utilities and Technology - Ranking Member"
49,Georgetown,Allison Hepler,D - Woolwich,Allison.Hepler@legislature.maine.gov,(207) 319-4396,"Agriculture, Conservation and Forestry; Marine Resources - Chair"
73,Gilead,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
34,Glenburn,Abigail W. Griffin,R - Levant,Abigail.Griffin@legislature.maine.gov,(207) 403-3671,Health and Human Services
8,plantation Glenwood,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
108,Gorham (Part),Parnell William Terry,D - Gorham,Parnell.Terry@legislature.maine.gov,(207) 318-1740,Inland Fisheries and Wildlife; Veterans and Legal Affairs
109,Gorham (Part),Eleanor Y. Sato,D - Gorham,Eleanor.Sato@legislature.maine.gov,(207) 939-6041,Judiciary
12,Gouldsboro,Billy Bob Faulkingham,R - Winter Harbor,William.Faulkingham@legislature.maine.gov,(207) 460-6967,Joint Select Committee on Joint Rules - Ranking Member
2,Grand Isle,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
9,plantation Grand Lake Stream,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
104,Gray (Part),Amy Bradstreet Arata,R - New Gloucester,Amy.Arata@legislature.maine.gov,(207) 333-1817,Appropriations and Financial Affairs
105,Gray (Part),Anne P. Graham,D - North Yarmouth,Anne.Graham@legislature.maine.gov,(207) 370-4414,Health and Human Services; Veterans and Legal Affairs
18,Great Pond,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
18,Greenbush,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
92,Greene,Stephen J. Wood,R - Greene,Stephen.Wood@legislature.maine.gov,(207) 740-3723,Engrossed Bills; Inland Fisheries and Wildlife
18,unorganized territory of Greenfield Township,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
10,unorganized territory of Greenlaw Chopping Township,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
30,Greenville,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
81,Greenwood,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
30,Guilford,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
55,Hallowell,Daniel Joseph Shagoury,D - Hallowell,Daniel.Shagoury@legislature.maine.gov,(207) 242-2169,Health and Human Services
3,Hamlin,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
6,Hammond,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
36,Hampden,Kimberly M. Haggan,R - Hampden,Kimberly.Haggan@legislature.maine.gov,(207) 735-7333,Education and Cultural Affairs
12,Hancock,Billy Bob Faulkingham,R - Winter Harbor,William.Faulkingham@legislature.maine.gov,(207) 460-6967,Joint Select Committee on Joint Rules - Ranking Member
78,Hanover,Rachel A. Henderson,R - Rumford,Rachel.Henderson@legislature.maine.gov,(207) 381-4237,Judiciary
72,Harmony,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
99,Harpswell,Cheryl A. Golek,D - Harpswell,Cheryl.Golek@legislature.maine.gov,(207) 535-9857,Housing and Economic Development; Marine Resources
11,Harrington,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
83,Harrison,Marygrace Caroline Cimino,R - Bridgton,Marygrace.Cimino@legislature.maine.gov,(804) 380-6101,"Health Coverage, Insurance and Financial Services"
77,Hartford,Tammy L. Schmersal-Burgess,R - Mexico,Tammy.Schmersal-Burgess@legislature.maine.gov,(207) 357-7179,Environment and Natural Resources
69,Hartland,Dean A. Cray,R - Palmyra,dean.cray@legislature.maine.gov,(207) 478-8279,"Bills in the Second Reading; Agriculture, Conservation and Forestry"
8,Haynesville,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
80,Hebron,Caldwell Jackson,R - Oxford,Caldwell.Jackson@legislature.maine.gov,(207) 272-8543,"Agriculture, Conservation and Forestry"
35,Hermon,James E. Thorne,R - Carmel,Jim.Thorne@legislature.maine.gov,(207) 735-5827,Inland Fisheries and Wildlife; Marine Resources - Ranking Member
6,Hersey,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
29,unorganized territory of Herseytown Township,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
62,unorganized territory of Hibberts Gore Township,Katrina J. Smith,R - Palermo,Katrina.Smith@legislature.maine.gov,(207) 230-9583,Ethics; Rules and Business of the House; Joint Select Committee on Joint Rules
73,plantation Highland,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
82,Hiram,Nathan J. Wadsworth,R - Hiram,Nathan.Wadsworth@legislature.maine.gov,(207) 838-7451,"Bills in the Second Reading; Energy, Utilities and Technology"
8,Hodgdon,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
19,Holden,Richard H. Campbell,R - Orrington,Richard.Campbell@legislature.maine.gov,(207) 745-7748,Ethics; Rules and Business of the House - Ranking Member; Environment and Natural Resources - Ranking Member
137,Hollis (Part),Nathan M. Carlow,R - Buxton,Nathan.Carlow@legislature.maine.gov,(207) 241-9939,Bills in the Second Reading; Education and Cultural Affairs
138,Hollis (Part),Mark John Blier,R - Buxton,Mark.Blier@legislature.maine.gov,(207) 712-5705,Appropriations and Financial Affairs
44,Hope,William D. Pluecker,I - Warren,Bill.Pluecker@legislature.maine.gov,(207) 273-3044,"Engrossed Bills; Agriculture, Conservation and Forestry - Chair"
7,Houlton,Gregory Lewis Swallow,R - Houlton,Gregory.Swallow@legislature.maine.gov,(207) 521-7416,Taxation
28,Howland,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
27,Hudson,Gary A. Drinkwater,R - Milford,Gary.Drinkwater@legislature.maine.gov,(207) 356-8198,Labor - Ranking Member
74,Industry,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
8,Island Falls,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
15,Isle au Haut,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
40,Islesboro,D. Michael Ray,D - Lincolnville,Michael.Ray@legislature.maine.gov,(207) 930-0371,Transportation
72,township Jackman,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
73,Jackman,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
38,Jackson,Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
76,Jay,Sheila A. Lyman,R - Livermore Falls,Sheila.Lyman@legislature.maine.gov,(207) 320-0588,Education and Cultural Affairs - Ranking Member
47,Jefferson,Wayne K. Farrin,D - Jefferson,Wayne.Farrin@legislature.maine.gov,(207) 592-9057,Marine Resources; State and Local Government
11,Jonesboro,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
11,Jonesport,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
34,Kenduskeag,Abigail W. Griffin,R - Levant,Abigail.Griffin@legislature.maine.gov,(207) 403-3671,Health and Human Services
134,Kennebunk (Part),Traci Gere,D - Kennebunkport,Traci.Gere@legislature.maine.gov,(207) 710-3557,Engrossed Bills; Housing and Economic Development - Chair
135,Kennebunk (Part),Daniel Sayre,D - Kennebunk,Daniel.Sayre@legislature.maine.gov,(207) 613-6776,Taxation
134,Kennebunkport,Traci Gere,D - Kennebunkport,Traci.Gere@legislature.maine.gov,(207) 710-3557,Engrossed Bills; Housing and Economic Development - Chair
73,Kingfield,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
8,unorganized territory of Kingman Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
30,plantation Kingsbury,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
150,Kittery (Part),Michele Meyer,D - Eliot,Michele.Meyer@legislature.maine.gov,(207) 438-9197,Health and Human Services - Chair
151,Kittery (Part),Kristi Michele Mathieson,D - Kittery,Kristi.Mathieson@legislature.maine.gov,(603) 969-7496,"Health Coverage, Insurance and Financial Services - Chair"
38,Knox,Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
28,Lagrange,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
31,plantation Lake View,Chad R. Perkins,R - Dover-Foxcroft,Chad.Perkins@legislature.maine.gov,(207) 279-0927,Criminal Justice and Public Safety; Government Oversight Committee
8,Lakeville,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
14,Lamoine,Gary Friedmann,D - Bar Harbor,Gary.Friedmann@legislature.maine.gov,(207) 460-7362,Taxation
144,Lebanon,Jeffrey Sean Adams,R - Lebanon,Jeffrey.Adams@legislature.maine.gov,(207) 457-2054,State and Local Government
8,Lee,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
91,Leeds,Joshua K. Morris,R - Turner,Joshua.Morris@legislature.maine.gov,(207) 754-7829,"Elections - Ranking Member; Health Coverage, Insurance and Financial Services"
34,Levant,Abigail W. Griffin,R - Levant,Abigail.Griffin@legislature.maine.gov,(207) 403-3671,Health and Human Services
93,Lewiston (Part),Julia A.G. McCabe,D - Lewiston,Julia.McCabe@legislature.maine.gov,(240) 498-9332,Leaves of Absence; Health and Human Services
94,Lewiston (Part),Kristen Cloutier,D - Lewiston,Kristen.Cloutier@legislature.maine.gov,(207) 807-1637,Appropriations and Financial Affairs; Taxation - Chair
95,Lewiston (Part),Mana H. Abdi,D - Lewiston,Mana.Abdi@legislature.maine.gov,(207) 520-7379,Bills in the Second Reading; Criminal Justice and Public Safety
96,Lewiston (Part),Michel A. Lajoie,D - Lewiston,Michel.Lajoie@legislature.maine.gov,(207) 713-7119,Leaves of Absence - Chair; Criminal Justice and Public Safety
72,unorganized territory of Lexington Township,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
40,Liberty,D. Michael Ray,D - Lincolnville,Michael.Ray@legislature.maine.gov,(207) 930-0371,Transportation
139,Limerick,David C. Woodsome,R - Waterboro,David.Woodsome@legislature.maine.gov,(207) 432-5643,Leaves of Absence - Ranking Member; Environment and Natural Resources; Inland Fisheries and Wildlife
3,Limestone,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
138,Limington,Mark John Blier,R - Buxton,Mark.Blier@legislature.maine.gov,(207) 712-5705,Appropriations and Financial Affairs
28,Lincoln,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
73,plantation Lincoln,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
40,Lincolnville,D. Michael Ray,D - Lincolnville,Michael.Ray@legislature.maine.gov,(207) 930-0371,Transportation
7,Linneus,Gregory Lewis Swallow,R - Houlton,Gregory.Swallow@legislature.maine.gov,(207) 521-7416,Taxation
97,Lisbon (Part),Richard G. Mason,R - Lisbon,Richard.Mason@legislature.maine.gov,(207) 577-1001,Bills in the Second Reading - Ranking Member; Inland Fisheries and Wildlife - Ranking Member; Transportation
98,Lisbon (Part),Kilton M. Webb,D - Durham,Kilton.Webb@legislature.maine.gov,(207) 458-0172,"Energy, Utilities and Technology"
56,Litchfield,Randall Adam Greenwood,R - Wales,Randall.Greenwood@legislature.maine.gov,(207) 754-6604,State and Local Government - Ranking Member
6,Littleton,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
76,Livermore (Part),Sheila A. Lyman,R - Livermore Falls,Sheila.Lyman@legislature.maine.gov,(207) 320-0588,Education and Cultural Affairs - Ranking Member
77,Livermore (Part),Tammy L. Schmersal-Burgess,R - Mexico,Tammy.Schmersal-Burgess@legislature.maine.gov,(207) 357-7179,Environment and Natural Resources
76,Livermore Falls,Sheila A. Lyman,R - Livermore Falls,Sheila.Lyman@legislature.maine.gov,(207) 320-0588,Education and Cultural Affairs - Ranking Member
81,Locke Mills,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
110,Long Island,Christina R.C. Mitchell,D - Cumberland,Christina.Mitchell@legislature.maine.gov,(207) 829-6307,Education and Cultural Affairs
45,unorganized territory of Louds Island Township,Abden S. Simmons,R - Waldoboro,Abden.Simmons@legislature.maine.gov,(207) 446-4518,Marine Resources
82,Lovell,Nathan J. Wadsworth,R - Hiram,Nathan.Wadsworth@legislature.maine.gov,(207) 838-7451,"Bills in the Second Reading; Energy, Utilities and Technology"
18,Lowell,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
10,Lubec,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
7,Ludlow,Gregory Lewis Swallow,R - Houlton,Gregory.Swallow@legislature.maine.gov,(207) 521-7416,Taxation
136,Lyman (Part),John M. Eder,R - Waterboro,John.Eder@legislature.maine.gov,(207) 283-5729,Government Oversight Committee; Housing and Economic Development
140,Lyman (Part),Wayne R. Parry,R - Arundel,Wayne.Parry@legislature.maine.gov,(207) 286-9146,Transportation - Ranking Member
11,Machias,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
10,Machiasport,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
8,plantation Macwahoc,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
2,Madawaska,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
2,unorganized territory of Madawaska Lake Township,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
71,Madison,"John ""Jack"" E. Ducharme",R - Madison,Jack.Ducharme@legislature.maine.gov,(207) 431-0775,Appropriations and Financial Affairs - Ranking Member
73,unorganized territory of Madrid Township,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
73,plantation Magalloway Township,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
55,Manchester,Daniel Joseph Shagoury,D - Hallowell,Daniel.Shagoury@legislature.maine.gov,(207) 242-2169,Health and Human Services
6,Mapleton,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
18,Mariaville,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
6,Mars Hill,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
15,unorganized territory of Marshall Island,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
10,Marshfield,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
1,Masardis,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
81,unorganized territory of Mason Township,Peter Conley Wood,R - Norway,Peter.Wood@legislature.maine.gov,(207) 890-3324,Marine Resources
42,plantation Matinicus Isle,Valli D. Geiger,D - Rockland,Valli.Geiger@legislature.maine.gov,(207) 956-1565,"Energy, Utilities and Technology; Labor"
28,township Mattamiscontis,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
8,Mattawamkeag,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
28,Maxfield,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
87,Mechanic Falls,David W. Boyer,R - Poland,David.Boyer@legislature.maine.gov,(207) 274-4633,Elections; Veterans and Legal Affairs - Ranking Member
9,Meddybemps,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
31,Medford,Chad R. Perkins,R - Dover-Foxcroft,Chad.Perkins@legislature.maine.gov,(207) 279-0927,Criminal Justice and Public Safety; Government Oversight Committee
29,Medway,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
66,Mercer,Robert W. Nutting,R - Oakland,Robert.Nutting@legislature.maine.gov,(207) 629-7035,Ethics; Criminal Justice and Public Safety - Ranking Member
6,Merrill,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
77,Mexico,Tammy L. Schmersal-Burgess,R - Mexico,Tammy.Schmersal-Burgess@legislature.maine.gov,(207) 357-7179,Environment and Natural Resources
11,Milbridge,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
27,Milford,Gary A. Drinkwater,R - Milford,Gary.Drinkwater@legislature.maine.gov,(207) 356-8198,Labor - Ranking Member
29,Millinocket,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
31,Milo,Chad R. Perkins,R - Dover-Foxcroft,Chad.Perkins@legislature.maine.gov,(207) 279-0927,Criminal Justice and Public Safety; Government Oversight Committee
78,unorganized territory of Milton Township,Rachel A. Henderson,R - Rumford,Rachel.Henderson@legislature.maine.gov,(207) 381-4237,Judiciary
90,Minot,Laurel D. Libby,R - Auburn,Laurel.Libby@legislature.maine.gov,(207) 632-7619,Labor
46,plantation Monhegan,Lydia V. Crafts,D - Newcastle,Lydia.Crafts@legislature.maine.gov,(207) 593-2664,Elections - Chair; Transportation - Chair
56,Monmouth,Randall Adam Greenwood,R - Wales,Randall.Greenwood@legislature.maine.gov,(207) 754-6604,State and Local Government - Ranking Member
38,Monroe,Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
30,Monson,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
6,Monticello,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
40,Montville,D. Michael Ray,D - Lincolnville,Michael.Ray@legislature.maine.gov,(207) 930-0371,Transportation
73,Moose River,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
6,plantation Moro,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
40,Morrill,D. Michael Ray,D - Lincolnville,Michael.Ray@legislature.maine.gov,(207) 930-0371,Transportation
72,Moscow,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
73,township Moscow,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
29,Mount Chase,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
14,Mount Desert,Gary Friedmann,D - Bar Harbor,Gary.Friedmann@legislature.maine.gov,(207) 460-7362,Taxation
58,Mount Vernon,Sharon C. Frost,U - Belgrade,Sharon.Frost@legislature.maine.gov,(207) 242-6079,"Agriculture, Conservation and Forestry; Veterans and Legal Affairs"
72,unorganized territory of Moxie Gore Township,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
42,unorganized territory of Muscle Ridge Islands,Valli D. Geiger,D - Rockland,Valli.Geiger@legislature.maine.gov,(207) 956-1565,"Energy, Utilities and Technology; Labor"
84,Naples,Mark Walker,R - Naples,Mark.Walker@legislature.maine.gov,(207) 272-2728,Housing and Economic Development
1,plantation Nashville,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
1,New Canada,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
104,New Gloucester,Amy Bradstreet Arata,R - New Gloucester,Amy.Arata@legislature.maine.gov,(207) 333-1817,Appropriations and Financial Affairs
7,New Limerick,Gregory Lewis Swallow,R - Houlton,Gregory.Swallow@legislature.maine.gov,(207) 521-7416,Taxation
74,New Portland,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
58,New Sharon,Sharon C. Frost,U - Belgrade,Sharon.Frost@legislature.maine.gov,(207) 242-6079,"Agriculture, Conservation and Forestry; Veterans and Legal Affairs"
3,New Sweden,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
74,New Vineyard,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
36,Newburgh,Kimberly M. Haggan,R - Hampden,Kimberly.Haggan@legislature.maine.gov,(207) 735-7333,Education and Cultural Affairs
46,Newcastle,Lydia V. Crafts,D - Newcastle,Lydia.Crafts@legislature.maine.gov,(207) 593-2664,Elections - Chair; Transportation - Chair
141,Newfield,Lucas John Lanigan,R - Sanford,Lucas.Lanigan@legislature.maine.gov,(207) 351-5383,Legislative Service:
33,Newport,Kenneth Wade Fredette,R - Newport,Kenneth.Fredette@legislature.maine.gov,(207) 287-1440,Appropriations and Financial Affairs
73,Newry,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
46,Nobleboro,Lydia V. Crafts,D - Newcastle,Lydia.Crafts@legislature.maine.gov,(207) 593-2664,Elections - Chair; Transportation - Chair
71,Norridgewock,"John ""Jack"" E. Ducharme",R - Madison,Jack.Ducharme@legislature.maine.gov,(207) 431-0775,Appropriations and Financial Affairs - Ranking Member
148,North Berwick (Part),Thomas A. Lavigne,R - Berwick,Thomas.Lavigne@legislature.maine.gov,(603) 842-0814,Taxation
149,North Berwick (Part),Tiffany Roberts,D - South Berwick,Tiffany.Roberts@legislature.maine.gov,(207) 210-3287,Housing and Economic Development; Inland Fisheries and Wildlife - Chair
73,unorganized territory of North Franklin,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
42,North Haven,Valli D. Geiger,D - Rockland,Valli.Geiger@legislature.maine.gov,(207) 956-1565,"Energy, Utilities and Technology; Labor"
73,unorganized territory of North Oxford,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
28,unorganized territory of North Penobscot,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
29,North Penobscot,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
8,unorganized territory of North Washington (Part),Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
10,unorganized territory of North Washington (Part),William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
11,North Washington (Part),Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
